root@xw607_dz_ap0002_v4:/data/python_files/bin # lsof
COMMAND     PID       USER   FD      TYPE             DEVICE  SIZE/OFF       NODE NAME
dji_camer   237       root   41       ???                ???       ???        ??? /dev/hx170dec
dji_camer   237       root   42       ???                ???       ???        ??? /dev/on2psm
dji_camer   237       root   43       ???                ???       ???        ??? /dev/ion
dji_camer   237       root   44       ???                ???       ???        ??? /dev/on2map
dji_camer   237       root   45       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   46       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   47       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   48       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   49       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   50       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   51       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   52       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   53       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   54       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   55       ???                ???       ???        ??? /dev/video0
dji_camer   237       root   56       ???                ???       ???        ??? /dev/log/main
dji_camer   237       root   57       ???                ???       ???        ??? /dev/log/radio
dji_camer   237       root   58       ???                ???       ???        ??? /dev/log/events
dji_camer   237       root   59       ???                ???       ???        ??? /dev/log/system
dji_camer   237       root   60       ???                ???       ???        ??? /dev/graphics/galcore
dji_camer   237       root   61       ???                ???       ???        ??? /dev/hx170dec
dji_camer   237       root   62       ???                ???       ???        ??? /dev/on2psm
dji_camer   237       root   63       ???                ???       ???        ??? /dev/on2map
dji_camer   237       root   64       ???                ???       ???        ??? /dev/hx170dec
dji_camer   237       root   65       ???                ???       ???        ??? /dev/on2psm
dji_camer   237       root   66       ???                ???       ???        ??? /dev/on2map
dji_camer   237       root   67       ???                ???       ???        ??? socket:[2791]
dji_camer   237       root   68       ???                ???       ???        ??? socket:[734277]
dji_camer   237       root   69       ???                ???       ???        ??? socket:[733357]
dji_camer   237       root   70       ???                ???       ???        ??? socket:[2965]
dji_camer   237       root   71       ???                ???       ???        ??? /dev/on2psm
dji_camer   237       root   72       ???                ???       ???        ??? /dev/on2map
dji_camer   237       root   73       ???                ???       ???        ??? /dev/ion
dji_camer   237       root   75       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   76       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   77       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   78       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   79       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   80       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   81       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   82       ???                ???       ???        ??? anon_inode:dmabuf
dji_camer   237       root   83       ???                ???       ???        ??? socket:[2969]
dji_camer   237       root   84       ???                ???       ???        ??? /dev/snd/pcmC0D0c
dji_camer   237       root   85       ???                ???       ???        ??? /system/audio/mic_ahc_close.apu
dji_camer   237       root   88       ???                ???       ???        ??? socket:[5956]
dji_netwo   239       root  exe       ???                ???       ???        ??? /system/bin/dji_network
dji_netwo   239       root    0       ???                ???       ???        ??? /dev/null
dji_netwo   239       root    1       ???                ???       ???        ??? /dev/null
dji_netwo   239       root    2       ???                ???       ???        ??? /dev/null
dji_netwo   239       root    3       ???                ???       ???        ??? /dev/log/main
dji_netwo   239       root    4       ???                ???       ???        ??? /dev/log/radio
dji_netwo   239       root    5       ???                ???       ???        ??? /dev/log/events
dji_netwo   239       root    6       ???                ???       ???        ??? /dev/log/system
dji_netwo   239       root    7       ???                ???       ???        ??? socket:[2694]
dji_netwo   239       root    8       ???                ???       ???        ??? /dev/__properties__
dji_netwo   239       root    9       ???                ???       ???        ??? socket:[2695]
